category_name,name,description,price,price_note,needs_verification,is_available,sort_order,source_page,source_section
"Hand Rolled Bagels","Hand Rolled Bagel","Old fashioned, kettle boiled. Choose your flavor.",1.50,,false,true,0,"printed menu (client-supplied photos)","Hand Rolled Bagels"
"Hand Rolled Bagels","Half Dozen Bagels","Six hand rolled bagels, any flavors.",8.50,,false,true,0,"printed menu (client-supplied photos)","Hand Rolled Bagels"
"Hand Rolled Bagels","Baker's Dozen Bagels","Thirteen hand rolled bagels, any flavors.",16.00,,false,true,0,"printed menu (client-supplied photos)","Hand Rolled Bagels"
"Breakfast Sandwiches","Egg Sandwich","Two eggs on a bagel or roll.",4.40,,false,true,0,"printed menu (client-supplied photos)","Breakfast Sandwiches"
"Breakfast Sandwiches","Meat & Egg","Two eggs with your choice of meat.",6.40,,false,true,0,"printed menu (client-supplied photos)","Breakfast Sandwiches"
"Breakfast Sandwiches","Egg & Cheese","Two eggs with your choice of cheese.",6.40,,false,true,0,"printed menu (client-supplied photos)","Breakfast Sandwiches"
"Breakfast Sandwiches","Meat, Egg & Cheese","Two eggs, your choice of meat and cheese.",7.45,,false,true,0,"printed menu (client-supplied photos)","Breakfast Sandwiches"
"Breakfast Sandwiches","Potatoes & Egg","Two eggs with home fries.",5.40,,false,true,0,"printed menu (client-supplied photos)","Breakfast Sandwiches"
"Egg Omelettes","Cheese Omelette","Your choice of cheese: Swiss, White American, Cheddar or Provolone.",10.35,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Vegetable Omelette","With spinach, bell peppers, mushrooms and onions.",12.20,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Ham and Cheese Omelette","Classic ham and cheese.",12.20,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Western Omelette","With ham, peppers and onions.",12.20,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Greek Omelette","With spinach, feta cheese, onions and tomatoes.",12.20,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Lorraine Omelette","With bacon, onions and Swiss cheese.",12.20,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Belly Buster Omelette","With bacon, sausage, ham and cheese.",14.05,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Chorizo Omelette","Chorizo, jalapeño, onions and pepper jack cheese.",12.20,,false,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"Egg Omelettes","Your Way Egg Platter","Build your own — egg whites available for +$1.00.",11.40,,true,true,0,"printed menu (client-supplied photos)","Egg Omelettes"
"French Toast","French Toast","Griddled fresh.",6.50,,false,true,0,"printed menu (client-supplied photos)","French Toast"
"French Toast","French Toast With Meat","Served with 3 slices of your choice of meat.",8.50,,false,true,0,"printed menu (client-supplied photos)","French Toast"
"French Toast","French Toast Platter","2 bacon, 2 pork roll, 2 sausage.",8.50,,false,true,0,"printed menu (client-supplied photos)","French Toast"
"French Toast","Sweet & Salty","French toast with 1 bacon or pork roll and 1 egg.",8.50,,true,true,0,"printed menu (client-supplied photos)","French Toast"
"Sides & More","Hash Browns",,3.50,,false,true,0,"printed menu (client-supplied photos)","Sides & More"
"Sides & More","Home Fries",,3.50,,false,true,0,"printed menu (client-supplied photos)","Sides & More"
"Sides & More","Two Eggs",,3.50,,false,true,0,"printed menu (client-supplied photos)","Sides & More"
"Sides & More","Bacon, Pork Roll or Sausage",,3.50,,false,true,0,"printed menu (client-supplied photos)","Sides & More"
"Sides & More","French Fries",,3.50,,false,true,0,"printed menu (client-supplied photos)","Sides & More"
"Sides & More","Cheese Fries",,4.50,,false,true,0,"printed menu (client-supplied photos)","Sides & More"
"Sides & More","Bacon Cheese Fries",,6.00,,false,true,0,"printed menu (client-supplied photos)","Sides & More"
"Cold Lunch Classics","Our Famous BLT","Fresh slices of Boar's Head bacon, shredded lettuce and fresh tomatoes.",8.75,,false,true,0,"printed menu (client-supplied photos)","Cold Lunch Classics"
"Cold Lunch Classics","Turkey BLT","Boar's Head turkey sliced thin and stacked high, topped with bacon, lettuce and tomatoes.",9.25,,false,true,0,"printed menu (client-supplied photos)","Cold Lunch Classics"
"Cold Lunch Classics","Ham, Salami & Provolone","The Italian cold cut classic that hits the spot.",9.75,,false,true,0,"printed menu (client-supplied photos)","Cold Lunch Classics"
"Cold Lunch Classics",American,"Triple threat of roast beef, turkey and ham with your choice of cheese, lettuce and tomatoes.",10.25,,false,true,0,"printed menu (client-supplied photos)","Cold Lunch Classics"
"Cold Lunch Classics","Turkey Deluxe","Boar's Head turkey, provolone, sun-dried tomatoes and fresh basil.",10.25,,true,true,0,"printed menu (client-supplied photos)","Cold Lunch Classics"
"Cold Lunch Classics","Turkey & Swiss",,9.25,,false,true,0,"printed menu (client-supplied photos)","Cold Lunch Classics"
"Cold Lunch Classics","Roast Beef & Cheddar",,10.25,,false,true,0,"printed menu (client-supplied photos)","Cold Lunch Classics"
"Cold Lunch Classics","Roast Beef, Mozzarella & Roasted Peppers",,10.25,,false,true,0,"printed menu (client-supplied photos)","Cold Lunch Classics"
"Hot Lunch Classics","Original 1/2 Pound Cheeseburger",,11.50,,false,true,0,"printed menu (client-supplied photos)","Hot Lunch Classics"
"Hot Lunch Classics","Bacon Cheeseburger",,11.25,,false,true,0,"printed menu (client-supplied photos)","Hot Lunch Classics"
"Hot Lunch Classics","Smothered Burger","With sautéed mushrooms, onions and melted Swiss cheese.",11.25,,true,true,0,"printed menu (client-supplied photos)","Hot Lunch Classics"
"Hot Lunch Classics","Philly Cheesesteak","Topped with American cheese, sautéed peppers and onions.",11.50,,false,true,0,"printed menu (client-supplied photos)","Hot Lunch Classics"
"Hot Lunch Classics","Tuna Melt","Homemade tuna, tomato and melted American cheese.",9.50,,false,true,0,"printed menu (client-supplied photos)","Hot Lunch Classics"
"Hot Lunch Classics","Grilled Cheese",,6.00,,false,true,0,"printed menu (client-supplied photos)","Hot Lunch Classics"
"Hot Lunch Classics","Grilled Cheese With Ham or Bacon",,7.00,,false,true,0,"printed menu (client-supplied photos)","Hot Lunch Classics"
"Hot Lunch Classics","Peter Luger","Grilled house beef, fresh mozzarella, onions and tomatoes, topped with Peter Luger sauce.",11.50,,true,true,0,"printed menu (client-supplied photos)","Hot Lunch Classics"
"Hot Lunch Classics","BBQ Roast Beef","Grilled roast beef, melted provolone, grilled onions and BBQ sauce.",11.50,,false,true,0,"printed menu (client-supplied photos)","Hot Lunch Classics"
"Hot Lunch Classics",Pastrami,"Hot pastrami, Swiss cheese, mustard and two fried eggs.",11.25,,false,true,0,"printed menu (client-supplied photos)","Hot Lunch Classics"
"Hot Lunch Classics",Reuben,"Hot pastrami, sauerkraut, Russian dressing on rye bread.",11.25,,false,true,0,"printed menu (client-supplied photos)","Hot Lunch Classics"
"Chicken Sandwiches","Original Chicken Wrap","Crispy bacon, lettuce, tomatoes, mayo.",10.75,,false,true,0,"printed menu (client-supplied photos)","Chicken Sandwiches"
"Chicken Sandwiches","Chicken Teriyaki","With mushrooms and teriyaki sauce.",12.75,,false,true,0,"printed menu (client-supplied photos)","Chicken Sandwiches"
"Chicken Sandwiches","Balsamic Chicken","Fresh mozzarella, roasted peppers, spinach and balsamic dressing.",12.75,,false,true,0,"printed menu (client-supplied photos)","Chicken Sandwiches"
"Chicken Sandwiches","Buffalo Chicken","With hot sauce, blue cheese, lettuce and tomatoes.",12.75,,false,true,0,"printed menu (client-supplied photos)","Chicken Sandwiches"
"Chicken Sandwiches","Chicken Caesar","With romaine lettuce, grated Parmesan cheese and Caesar sauce.",12.75,,false,true,0,"printed menu (client-supplied photos)","Chicken Sandwiches"
"Chicken Sandwiches","BBQ Chicken","With crispy bacon, cheddar cheese and BBQ sauce.",12.75,,false,true,0,"printed menu (client-supplied photos)","Chicken Sandwiches"
"Chicken Sandwiches","Crispy Chicken Sandwich","Breaded chicken, pepper jack cheese, lettuce, tomatoes, chipotle mayo on a roll.",10.65,,false,true,0,"printed menu (client-supplied photos)","Chicken Sandwiches"
"Chicken Sandwiches","BBQ Crispy Chicken Sandwich","With crispy bacon, cheddar cheese, on your favorite wrap.",11.70,,false,true,0,"printed menu (client-supplied photos)","Chicken Sandwiches"
"A Little Healthier","Turkey, Egg Whites & Spinach Wrap","Turkey with low sodium Swiss and egg whites on a scooped out whole wheat bagel.",9.05,,false,true,0,"printed menu (client-supplied photos)","A Little Healthier"
"A Little Healthier","Vegetable Egg White Omelette","With spinach, mushrooms, peppers and onions.",12.80,,false,true,0,"printed menu (client-supplied photos)","A Little Healthier"
"A Little Healthier","Muscle Builder Wrap","With grilled chicken, egg whites and a touch of feta cheese.",10.65,,false,true,0,"printed menu (client-supplied photos)","A Little Healthier"
"A Little Healthier","Papaya Wrap","Turkey, spinach, egg whites and a touch of feta cheese.",9.60,,true,true,0,"printed menu (client-supplied photos)","A Little Healthier"
"A Little Healthier","Fit Wrap","Turkey bacon, egg whites and roasted peppers.",9.60,,false,true,0,"printed menu (client-supplied photos)","A Little Healthier"
"A Little Healthier","Veggie Wrap","Sautéed onions and peppers over spinach and fresh mozzarella with a balsamic drizzle.",9.60,,false,true,0,"printed menu (client-supplied photos)","A Little Healthier"
"A Little Healthier","Veggie Omelette","With lettuce, tomatoes and onions.",9.60,,false,true,0,"printed menu (client-supplied photos)","A Little Healthier"
"A Little Healthier","Egg Avocado Toast","Fresh baked bagel topped with avocado and two fried eggs.",9.60,,false,true,0,"printed menu (client-supplied photos)","A Little Healthier"
"Fresh Garden Salads","House Tossed Salad","Bed of mixed greens, tomatoes, cucumber, onions.",9.05,,false,true,0,"printed menu (client-supplied photos)","Fresh Garden Salads"
"Fresh Garden Salads","Greek Salad","Mixed greens, feta cheese, Kalamata olives. Add tuna, chicken or egg salad for +$3.50.",9.60,,false,true,0,"printed menu (client-supplied photos)","Fresh Garden Salads"
"Fresh Garden Salads","Grilled Chicken Salad","Grilled chicken strips, chopped romaine lettuce.",13.30,,false,true,0,"printed menu (client-supplied photos)","Fresh Garden Salads"
"Fresh Garden Salads","Chicken Caesar Salad","Seasoned chicken strips, grated Parmesan cheese, croutons.",13.30,,false,true,0,"printed menu (client-supplied photos)","Fresh Garden Salads"
"Homemade Salads","Tuna Salad","Served on a bagel or by the pound.",8.50,,false,true,0,"printed menu (client-supplied photos)","Homemade Salads"
"Homemade Salads","Chicken Salad","Served on a bagel or by the pound.",8.50,,false,true,0,"printed menu (client-supplied photos)","Homemade Salads"
"Homemade Salads","Egg Salad","Served on a bagel or by the pound.",8.00,,false,true,0,"printed menu (client-supplied photos)","Homemade Salads"
"Homemade Salads","Macaroni Salad","Sold by the pound.",6.00,,false,true,0,"printed menu (client-supplied photos)","Homemade Salads"
"Little Taste of Latin Culture","California Burrito","Grilled chicken or steak, lettuce, tomatoes, avocado, chipotle mayo and pepper jack cheese.",10.65,,false,true,0,"printed menu (client-supplied photos)","Little Taste of Latin Culture"
"Little Taste of Latin Culture","Sunset Burrito","Grilled steak or chicken, beans, Spanish style rice, avocado, jalapeño, on your roll.",10.65,,false,true,0,"printed menu (client-supplied photos)","Little Taste of Latin Culture"
"Little Taste of Latin Culture","Chorizo Breakfast Burrito","With potatoes, onions, two scrambled eggs and mixed cheese.",10.65,,false,true,0,"printed menu (client-supplied photos)","Little Taste of Latin Culture"
"Little Taste of Latin Culture","Steak Breakfast Burrito","With potatoes, onions, two scrambled eggs and mixed cheese, side of sour cream.",10.65,,false,true,0,"printed menu (client-supplied photos)","Little Taste of Latin Culture"
"Little Taste of Latin Culture","Huevos Rancheros Burrito","Sausage, scrambled eggs, Spanish style rice, beans, salsa and mixed cheese.",10.65,,false,true,0,"printed menu (client-supplied photos)","Little Taste of Latin Culture"
"Little Taste of Latin Culture","Chicken Quesadilla","Seasoned chicken or steak, mixed cheese, lettuce, tomatoes, side of salsa and sour cream.",12.65,,false,true,0,"printed menu (client-supplied photos)","Little Taste of Latin Culture"
"Little Taste of Latin Culture","Steak Quesadilla","Seasoned steak, mixed cheese, lettuce, tomatoes, side of sour cream.",12.65,,false,true,0,"printed menu (client-supplied photos)","Little Taste of Latin Culture"
"Little Taste of Latin Culture","Chorizo With Eggs Torta","Served with lettuce, tomato, mayo, guacamole and side of fries.",13.30,,true,true,0,"printed menu (client-supplied photos)","Little Taste of Latin Culture"
"Little Taste of Latin Culture","Chorizo Breakfast Tacos","With 3 flour tortillas, eggs, mixed cheese, chipotle mayo and side of salsa.",13.30,,true,true,0,"printed menu (client-supplied photos)","Little Taste of Latin Culture"
"Little Taste of Latin Culture","Chicken Bacon Salad","With candied bacon, cheddar cheese, avocado, guacamole and side of fries.",13.30,,true,true,0,"printed menu (client-supplied photos)","Little Taste of Latin Culture"
"Fresh Bakery",Muffins,"Corn, blueberry, chocolate chip or banana nut.",3.75,,false,true,0,"printed menu (client-supplied photos)","Fresh Bakery"
"Fresh Bakery","Crumb Cake",,3.75,,false,true,0,"printed menu (client-supplied photos)","Fresh Bakery"
"Fresh Bakery","Black and White Cookies",,3.75,,false,true,0,"printed menu (client-supplied photos)","Fresh Bakery"
"Fresh Bakery",Croissants,,3.75,,false,true,0,"printed menu (client-supplied photos)","Fresh Bakery"
"Fresh Bakery","Cheese Danish",,3.75,,false,true,0,"printed menu (client-supplied photos)","Fresh Bakery"
"For the Kids","Sunshine Plate",,5.50,,true,true,0,"printed menu (client-supplied photos)","For the Kids"
"For the Kids","Chicken Nuggets & Fries",,6.50,,false,true,0,"printed menu (client-supplied photos)","For the Kids"
"For the Kids","Sunrise Plate",,4.50,,true,true,0,"printed menu (client-supplied photos)","For the Kids"
"For the Kids","Kids Grilled Cheese",,5.30,,false,true,0,"printed menu (client-supplied photos)","For the Kids"
"For the Kids","Kids Sweet & Salty","Kid-sized French toast with a side of meat and egg.",5.30,,true,true,0,"printed menu (client-supplied photos)","For the Kids"
Burgers,"Big Boy Burger","8 oz burger, bacon, pork roll, fried egg and melted white American.",14.50,,false,true,0,"printed menu (client-supplied photos)",Burgers
"Family Specials","The Family Special","1/2 lb plain cream cheese + 1/2 lb any flavored cream cheese with a baker's dozen of bagels — you save about $4.",24.00,,false,true,0,"printed menu (client-supplied photos)","Family Specials"
